t,nodes,edges,degre_moyen,taille_composante_geante,longueur_moyenne_chemins,coefficient_clustering,scenario
0,100,1958,39.16,1.0,1.881010101010101,0.7505135935947181,sans_panne
1,100,1952,39.04,1.0,1.8822222222222222,0.7499900127200738,sans_panne
2,100,1951,39.02,1.0,1.8824242424242423,0.7497206432684156,sans_panne
3,100,1953,39.06,1.0,1.8818181818181818,0.7495559000546713,sans_panne
4,100,1956,39.12,1.0,1.8808080808080807,0.7491199510253413,sans_panne
5,100,1959,39.18,1.0,1.8814141414141414,0.7496871697295608,sans_panne
6,100,1962,39.24,1.0,1.8846464646464647,0.7482047930678098,sans_panne
7,100,1959,39.18,1.0,1.8864646464646464,0.7483075892965637,sans_panne
8,100,1961,39.22,1.0,1.8812121212121211,0.7477508545452632,sans_panne
9,100,1963,39.26,1.0,1.8795959595959595,0.7448160351655693,sans_panne
10,100,1966,39.32,1.0,1.8763636363636365,0.7447079866496229,sans_panne
11,100,1961,39.22,1.0,1.878989898989899,0.7453116813972521,sans_panne
12,100,1955,39.1,1.0,1.8822222222222222,0.7441459101417219,sans_panne
13,100,1958,39.16,1.0,1.882020202020202,0.744438870824769,sans_panne
14,100,1956,39.12,1.0,1.8854545454545455,0.7444286403226781,sans_panne
15,100,1958,39.16,1.0,1.8844444444444444,0.7439404566267409,sans_panne
16,100,1960,39.2,1.0,1.883030303030303,0.7441564131744139,sans_panne
17,100,1965,39.3,1.0,1.8804040404040403,0.7446242959760325,sans_panne
18,100,1967,39.34,1.0,1.8785858585858586,0.7449677260003681,sans_panne
19,100,1970,39.4,1.0,1.8773737373737374,0.7453927034796198,sans_panne
20,100,1967,39.34,1.0,1.8781818181818182,0.7448493962493332,sans_panne
21,100,1963,39.26,1.0,1.8791919191919193,0.7440121134230795,sans_panne
22,100,1961,39.22,1.0,1.8816161616161615,0.7436990484277912,sans_panne
23,100,1960,39.2,1.0,1.8866666666666667,0.7436652096690076,sans_panne
24,100,1959,39.18,1.0,1.8874747474747475,0.7438443723020746,sans_panne
25,100,1959,39.18,1.0,1.8884848484848484,0.7425150919637911,sans_panne
26,100,1958,39.16,1.0,1.89010101010101,0.7307560946450206,sans_panne
27,100,1959,39.18,1.0,1.8896969696969697,0.7312653511052295,sans_panne
28,100,1957,39.14,1.0,1.8909090909090909,0.7312179598474838,sans_panne
29,100,1952,39.04,1.0,1.8907070707070708,0.7308715224282138,sans_panne
30,100,1952,39.04,1.0,1.89010101010101,0.731200824779621,sans_panne
31,100,1948,38.96,1.0,1.888080808080808,0.7310247984915813,sans_panne
32,100,1953,39.06,1.0,1.881010101010101,0.7301460097688717,sans_panne
33,100,1952,39.04,1.0,1.8832323232323231,0.73337319965549,sans_panne
34,100,1956,39.12,1.0,1.8854545454545455,0.7344229988254811,sans_panne
35,100,1961,39.22,1.0,1.8826262626262626,0.7344007450572778,sans_panne
36,100,1963,39.26,1.0,1.8826262626262626,0.7339509112444467,sans_panne
37,100,1965,39.3,1.0,1.8824242424242423,0.7345275124022536,sans_panne
38,100,1971,39.42,1.0,1.8775757575757577,0.7327952124798803,sans_panne
39,100,1970,39.4,1.0,1.8775757575757577,0.7329579692077638,sans_panne
40,100,1971,39.42,1.0,1.877979797979798,0.7331046933107594,sans_panne
41,100,1971,39.42,1.0,1.8763636363636365,0.7335545329209323,sans_panne
42,100,1971,39.42,1.0,1.8757575757575757,0.7336562321865833,sans_panne
43,100,1972,39.44,1.0,1.8729292929292929,0.7335730090659993,sans_panne
44,100,1980,39.6,1.0,1.855959595959596,0.733383536657878,sans_panne
45,100,1982,39.64,1.0,1.8553535353535353,0.7337727694265667,sans_panne
46,100,1976,39.52,1.0,1.8573737373737373,0.7335840585850564,sans_panne
47,100,1971,39.42,1.0,1.8597979797979798,0.7327642959537155,sans_panne
48,100,1975,39.5,1.0,1.8591919191919193,0.732052512522895,sans_panne
49,100,1970,39.4,1.0,1.860808080808081,0.7315766746752155,sans_panne
50,100,1971,39.42,1.0,1.8595959595959597,0.7321542428126968,sans_panne
51,100,1976,39.52,1.0,1.8575757575757577,0.7316324835994367,sans_panne
52,100,1972,39.44,1.0,1.861010101010101,0.7313074940155385,sans_panne
53,100,1981,39.62,1.0,1.857979797979798,0.732794645530396,sans_panne
54,100,1979,39.58,1.0,1.860808080808081,0.7326631429723774,sans_panne
55,100,1979,39.58,1.0,1.8604040404040405,0.7317542376650951,sans_panne
56,100,1977,39.54,1.0,1.8606060606060606,0.7322816768983558,sans_panne
57,100,1981,39.62,1.0,1.8597979797979798,0.7336114823875641,sans_panne
58,100,1980,39.6,1.0,1.8612121212121213,0.7350686168781527,sans_panne
59,100,1981,39.62,1.0,1.8583838383838385,0.7343934143563446,sans_panne
60,100,1980,39.6,1.0,1.858989898989899,0.7353257430313634,sans_panne
61,100,1978,39.56,1.0,1.86,0.7363536134738967,sans_panne
62,100,1984,39.68,1.0,1.8587878787878789,0.7366192463032017,sans_panne
63,100,1985,39.7,1.0,1.858989898989899,0.7375498945331685,sans_panne
64,100,1985,39.7,1.0,1.8591919191919193,0.7375043243328259,sans_panne
65,100,1983,39.66,1.0,1.858989898989899,0.7377025745681783,sans_panne
66,100,1980,39.6,1.0,1.8638383838383838,0.7379709490870419,sans_panne
67,100,1982,39.64,1.0,1.8648484848484848,0.7386871977853222,sans_panne
68,100,1981,39.62,1.0,1.8652525252525252,0.7386050668559107,sans_panne
69,100,1977,39.54,1.0,1.8711111111111112,0.7394385314659757,sans_panne
70,100,1978,39.56,1.0,1.8705050505050504,0.7393876092780975,sans_panne
71,100,1981,39.62,1.0,1.8668686868686868,0.739869618376614,sans_panne
72,100,1981,39.62,1.0,1.8668686868686868,0.7398703503104953,sans_panne
73,100,1980,39.6,1.0,1.8674747474747475,0.7400102496695227,sans_panne
74,100,1986,39.72,1.0,1.8628282828282827,0.740544982811128,sans_panne
75,100,1989,39.78,1.0,1.8616161616161617,0.7396270705472336,sans_panne
76,100,1983,39.66,1.0,1.8692929292929292,0.7395127706335753,sans_panne
77,100,1983,39.66,1.0,1.8696969696969696,0.7393635803053898,sans_panne
78,100,1972,39.44,1.0,1.8745454545454545,0.7385162086622412,sans_panne
79,100,1969,39.38,1.0,1.86989898989899,0.7474254116230965,sans_panne
80,100,1969,39.38,1.0,1.8703030303030304,0.7473362510824226,sans_panne
81,100,1968,39.36,1.0,1.8717171717171717,0.7477122764083941,sans_panne
82,100,1968,39.36,1.0,1.8725252525252525,0.7480925364677958,sans_panne
83,100,1971,39.42,1.0,1.8727272727272728,0.7490010097086238,sans_panne
84,100,1969,39.38,1.0,1.8745454545454545,0.7492937468494865,sans_panne
85,100,1973,39.46,1.0,1.8733333333333333,0.7499948200548551,sans_panne
86,100,1974,39.48,1.0,1.8733333333333333,0.7505081685526461,sans_panne
87,100,1975,39.5,1.0,1.8727272727272728,0.7504984242385424,sans_panne
88,100,1976,39.52,1.0,1.872121212121212,0.750784686053188,sans_panne
89,100,1976,39.52,1.0,1.872121212121212,0.7510227819039053,sans_panne
90,100,1977,39.54,1.0,1.872121212121212,0.7501067970512671,sans_panne
91,100,1973,39.46,1.0,1.8733333333333333,0.7504659055937087,sans_panne
92,100,1975,39.5,1.0,1.8731313131313132,0.7492245739780681,sans_panne
93,100,1978,39.56,1.0,1.8727272727272728,0.7498423038194391,sans_panne
94,100,1978,39.56,1.0,1.8747474747474748,0.7495330437810134,sans_panne
95,100,1983,39.66,1.0,1.8733333333333333,0.749941184712193,sans_panne
96,100,1985,39.7,0.99,1.8400329828901258,0.7514007548787659,sans_panne
97,100,1986,39.72,0.99,1.8404452690166977,0.7519378179492411,sans_panne
98,100,1985,39.7,0.99,1.8404452690166977,0.7520349314692978,sans_panne
99,100,1986,39.72,0.99,1.8412698412698412,0.752325668506682,sans_panne
0,100,1958,39.16,1.0,1.881010101010101,0.7505135935947181,panne_previsible
1,100,1952,39.04,1.0,1.8822222222222222,0.7499900127200738,panne_previsible
2,100,1951,39.02,1.0,1.8824242424242423,0.7497206432684156,panne_previsible
3,100,1953,39.06,1.0,1.8818181818181818,0.7495559000546713,panne_previsible
4,100,1956,39.12,1.0,1.8808080808080807,0.7491199510253413,panne_previsible
5,100,1959,39.18,1.0,1.8814141414141414,0.7496871697295608,panne_previsible
6,100,1962,39.24,1.0,1.8846464646464647,0.7482047930678098,panne_previsible
7,100,1959,39.18,1.0,1.8864646464646464,0.7483075892965637,panne_previsible
8,100,1961,39.22,1.0,1.8812121212121211,0.7477508545452632,panne_previsible
9,100,1963,39.26,1.0,1.8795959595959595,0.7448160351655693,panne_previsible
10,100,1966,39.32,1.0,1.8763636363636365,0.7447079866496229,panne_previsible
11,100,1961,39.22,1.0,1.878989898989899,0.7453116813972521,panne_previsible
12,100,1955,39.1,1.0,1.8822222222222222,0.7441459101417219,panne_previsible
13,100,1958,39.16,1.0,1.882020202020202,0.744438870824769,panne_previsible
14,100,1956,39.12,1.0,1.8854545454545455,0.7444286403226781,panne_previsible
15,100,1958,39.16,1.0,1.8844444444444444,0.7439404566267409,panne_previsible
16,100,1960,39.2,1.0,1.883030303030303,0.7441564131744139,panne_previsible
17,100,1965,39.3,1.0,1.8804040404040403,0.7446242959760325,panne_previsible
18,100,1967,39.34,1.0,1.8785858585858586,0.7449677260003681,panne_previsible
19,100,1970,39.4,1.0,1.8773737373737374,0.7453927034796198,panne_previsible
20,100,1967,39.34,1.0,1.8781818181818182,0.7448493962493332,panne_previsible
21,100,1963,39.26,1.0,1.8791919191919193,0.7440121134230795,panne_previsible
22,100,1961,39.22,1.0,1.8816161616161615,0.7436990484277912,panne_previsible
23,100,1960,39.2,1.0,1.8866666666666667,0.7436652096690076,panne_previsible
24,100,1959,39.18,1.0,1.8874747474747475,0.7438443723020746,panne_previsible
25,100,1959,39.18,1.0,1.8884848484848484,0.7425150919637911,panne_previsible
26,100,1958,39.16,1.0,1.89010101010101,0.7307560946450206,panne_previsible
27,100,1959,39.18,1.0,1.8896969696969697,0.7312653511052295,panne_previsible
28,100,1957,39.14,1.0,1.8909090909090909,0.7312179598474838,panne_previsible
29,100,1952,39.04,1.0,1.8907070707070708,0.7308715224282138,panne_previsible
30,100,1952,39.04,1.0,1.89010101010101,0.731200824779621,panne_previsible
31,100,1948,38.96,1.0,1.888080808080808,0.7310247984915813,panne_previsible
32,100,1953,39.06,1.0,1.881010101010101,0.7301460097688717,panne_previsible
33,100,1952,39.04,1.0,1.8832323232323231,0.73337319965549,panne_previsible
34,100,1956,39.12,1.0,1.8854545454545455,0.7344229988254811,panne_previsible
35,100,1961,39.22,1.0,1.8826262626262626,0.7344007450572778,panne_previsible
36,100,1963,39.26,1.0,1.8826262626262626,0.7339509112444467,panne_previsible
37,100,1965,39.3,1.0,1.8824242424242423,0.7345275124022536,panne_previsible
38,100,1971,39.42,1.0,1.8775757575757577,0.7327952124798803,panne_previsible
39,100,1970,39.4,1.0,1.8775757575757577,0.7329579692077638,panne_previsible
40,100,1971,39.42,1.0,1.877979797979798,0.7331046933107594,panne_previsible
41,100,1971,39.42,1.0,1.8763636363636365,0.7335545329209323,panne_previsible
42,100,1971,39.42,1.0,1.8757575757575757,0.7336562321865833,panne_previsible
43,100,1972,39.44,1.0,1.8729292929292929,0.7335730090659993,panne_previsible
44,100,1980,39.6,1.0,1.855959595959596,0.733383536657878,panne_previsible
45,100,1982,39.64,1.0,1.8553535353535353,0.7337727694265667,panne_previsible
46,100,1976,39.52,1.0,1.8573737373737373,0.7335840585850564,panne_previsible
47,100,1971,39.42,1.0,1.8597979797979798,0.7327642959537155,panne_previsible
48,100,1975,39.5,1.0,1.8591919191919193,0.732052512522895,panne_previsible
49,100,1970,39.4,1.0,1.860808080808081,0.7315766746752155,panne_previsible
50,70,1545,18.771428571428572,1.0,2.2703933747412006,0.6922586914985129,panne_previsible
51,70,1550,18.857142857142858,1.0,2.269151138716356,0.6896171461348003,panne_previsible
52,70,1546,18.885714285714286,1.0,2.2645962732919256,0.6888584826232256,panne_previsible
53,70,1555,19.114285714285714,1.0,2.2542443064182196,0.690452863044484,panne_previsible
54,70,1552,19.085714285714285,1.0,2.258385093167702,0.6914648118411612,panne_previsible
55,70,1552,19.142857142857142,1.0,2.253416149068323,0.6904236585516332,panne_previsible
56,70,1550,19.142857142857142,1.0,2.253416149068323,0.6929738559660019,panne_previsible
57,70,1554,19.285714285714285,1.0,2.2476190476190476,0.6949469084718385,panne_previsible
58,70,1553,19.142857142857142,1.0,2.255072463768116,0.6952146111760631,panne_previsible
59,70,1554,19.2,1.0,2.2480331262939957,0.69298928540687,panne_previsible
60,70,1553,19.2,1.0,2.243478260869565,0.695119449242099,panne_previsible
61,70,1551,19.228571428571428,1.0,2.250517598343685,0.6967836627786786,panne_previsible
62,70,1557,19.34285714285714,1.0,2.243064182194617,0.6983572653712788,panne_previsible
63,70,1558,19.428571428571427,1.0,2.238095238095238,0.6991698567154351,panne_previsible
64,70,1558,19.485714285714284,1.0,2.236438923395445,0.6984214305533789,panne_previsible
65,70,1557,19.457142857142856,1.0,2.2426501035196686,0.6999059737777833,panne_previsible
66,70,1554,19.457142857142856,1.0,2.2476190476190476,0.6999672605495201,panne_previsible
67,70,1556,19.542857142857144,1.0,2.2422360248447206,0.7022734994294644,panne_previsible
68,70,1555,19.542857142857144,1.0,2.2422360248447206,0.7022734994294644,panne_previsible
69,70,1551,19.457142857142856,1.0,2.2616977225672876,0.7026562164605958,panne_previsible
70,70,1552,19.514285714285716,1.0,2.25879917184265,0.7035660854475572,panne_previsible
71,70,1555,19.542857142857144,1.0,2.253830227743271,0.7032531294230173,panne_previsible
72,70,1556,19.6,1.0,2.250103519668737,0.7032503877757694,panne_previsible
73,70,1555,19.65714285714286,1.0,2.2476190476190476,0.7042089596171743,panne_previsible
74,70,1561,19.771428571428572,1.0,2.239751552795031,0.7039557546174836,panne_previsible
75,70,1565,19.8,1.0,2.2372670807453416,0.7037329896562847,panne_previsible
76,70,1559,19.771428571428572,1.0,2.2525879917184266,0.7051317945712245,panne_previsible
77,70,1559,19.8,1.0,2.250517598343685,0.7053883699219958,panne_previsible
78,70,1550,19.65714285714286,1.0,2.250517598343685,0.7014776965196494,panne_previsible
79,70,1547,19.62857142857143,1.0,2.2496894409937886,0.7122940655184027,panne_previsible
80,70,1547,19.62857142857143,1.0,2.25175983436853,0.7128441121794815,panne_previsible
81,70,1546,19.6,1.0,2.252173913043478,0.7126325272106901,panne_previsible
82,70,1546,19.62857142857143,1.0,2.25175983436853,0.7134857365123832,panne_previsible
83,70,1549,19.685714285714287,1.0,2.252173913043478,0.7155403061412285,panne_previsible
84,70,1548,19.742857142857144,1.0,2.250103519668737,0.7151543202252305,panne_previsible
85,70,1552,19.82857142857143,1.0,2.248861283643892,0.7156372758757493,panne_previsible
86,70,1553,19.885714285714286,1.0,2.2476190476190476,0.7153605122915899,panne_previsible
87,70,1556,19.885714285714286,1.0,2.247204968944099,0.7156980359853046,panne_previsible
88,70,1557,19.914285714285715,1.0,2.2459627329192546,0.7165028426049489,panne_previsible
89,70,1557,19.914285714285715,1.0,2.2459627329192546,0.7165028426049489,panne_previsible
90,70,1558,19.97142857142857,1.0,2.2376811594202897,0.7154079327109889,panne_previsible
91,70,1557,19.942857142857143,1.0,2.2389233954451346,0.7171317822755731,panne_previsible
92,70,1561,20.0,1.0,2.2480331262939957,0.716624875935937,panne_previsible
93,70,1564,20.142857142857142,1.0,2.2356107660455486,0.7179574907522549,panne_previsible
94,70,1565,20.114285714285714,1.0,2.238095238095238,0.7147944954924367,panne_previsible
95,70,1570,20.2,1.0,2.236438923395445,0.7159425464542485,panne_previsible
96,70,1572,20.228571428571428,0.9857142857142858,2.1909633418584824,0.7170047617265286,panne_previsible
97,70,1573,20.2,0.9857142857142858,2.1965046888320545,0.7183830484746994,panne_previsible
98,70,1572,20.228571428571428,0.9857142857142858,2.195225916453538,0.7186260494838291,panne_previsible
99,70,1574,20.257142857142856,0.9857142857142858,2.1935208866155156,0.7177503950235599,panne_previsible
0,100,1958,39.16,1.0,1.881010101010101,0.7505135935947181,panne_aleatoire
1,100,1952,39.04,1.0,1.8822222222222222,0.7499900127200738,panne_aleatoire
2,99,1951,38.58585858585859,1.0,1.8866213151927438,0.7495521254478743,panne_aleatoire
3,98,1953,38.06122448979592,1.0,1.8910162002945508,0.7487158917131754,panne_aleatoire
4,97,1955,37.58762886597938,1.0,1.8954037800687284,0.7480542172442307,panne_aleatoire
5,96,1958,37.958333333333336,1.0,1.8701754385964913,0.7393282564883114,panne_aleatoire
6,95,1961,37.873684210526314,1.0,1.8721164613661814,0.7408108897171112,panne_aleatoire
7,94,1955,37.08510638297872,1.0,1.8833218943033632,0.7396518686907908,panne_aleatoire
8,93,1955,36.45161290322581,1.0,1.8828892005610098,0.7375985819669278,panne_aleatoire
9,92,1951,35.78260869565217,1.0,1.8889154323936932,0.7326185204081391,panne_aleatoire
10,91,1950,35.40659340659341,1.0,1.886935286935287,0.7330645446570413,panne_aleatoire
11,90,1937,34.51111111111111,1.0,1.8991260923845195,0.7309145466180615,panne_aleatoire
12,89,1931,34.359550561797754,1.0,1.8950459652706844,0.7310174890169584,panne_aleatoire
13,88,1927,33.5,1.0,1.9051724137931034,0.7285913700636286,panne_aleatoire
14,87,1923,33.42528735632184,1.0,1.8970863405506548,0.7288513829384218,panne_aleatoire
15,86,1924,33.27906976744186,1.0,1.8927496580027359,0.7280248355210328,panne_aleatoire
16,85,1919,32.870588235294115,1.0,1.8969187675070027,0.7287925472344315,panne_aleatoire
